minute,class,TVC,MQ135,MQ136,MQ2,MQ3,MQ4,MQ5,MQ6,MQ8,MQ9,Humidity,Temperature
250,good,3.243635596,24.63,8.87,7.89,23.62,11.8,4.12,6.17,29.3,16.77,67,36.9
251,good,3.243635596,24.52,8.87,7.89,23.62,11.75,4.12,6.19,29.15,16.84,67,36.9
252,good,3.243635596,24.63,8.91,7.89,23.51,11.66,4.12,6.19,29.46,16.91,67.1,36.9
253,good,3.243635596,24.75,9.09,7.99,23.62,11.75,4.17,6.27,29.93,16.91,67.8,37
254,good,3.243635596,24.52,9.05,7.95,23.4,11.75,4.19,6.27,29.77,16.84,67.7,37
255,good,3.243635596,24.63,9.01,7.95,23.51,11.71,4.23,6.29,29.3,16.84,67.9,37
256,good,3.243635596,24.63,9.12,7.95,23.4,11.57,4.29,6.34,29.77,17.05,67.9,37
257,good,3.243635596,24.99,9.05,7.99,23.51,11.57,4.27,6.34,29.77,16.91,68,37
258,good,3.243635596,24.87,9.01,7.95,23.4,11.52,4.29,6.39,29.3,17.05,68.1,37
259,good,3.243635596,24.63,8.98,7.95,23.29,11.47,4.29,6.42,29.46,17.05,68.2,37
260,good,3.243635596,24.52,9.12,7.99,23.51,11.43,4.25,6.39,29.77,16.98,68.2,37
261,good,3.243635596,24.52,9.09,7.95,23.51,11.43,4.27,6.42,29.46,16.98,68.3,37
262,good,3.243635596,24.63,8.98,7.92,23.29,11.43,4.29,6.44,29.3,16.98,68.4,37
263,good,3.243635596,24.63,9.05,7.95,23.29,11.29,4.31,6.47,29.61,16.98,68.5,37
264,good,3.243635596,24.52,9.01,7.95,23.51,11.34,4.31,6.47,29.15,16.84,68.5,37
265,good,3.243635596,24.75,9.09,7.92,23.29,11.29,4.33,6.49,29.15,16.98,68.6,37
266,good,3.243635596,24.87,9.09,7.92,23.29,11.25,4.33,6.52,29.15,16.98,68.7,37.1
267,good,3.243635596,24.52,8.98,7.92,23.29,11.25,4.33,6.52,29,16.84,68.6,37.1
268,good,3.243635596,24.63,8.87,7.8,23.18,11.02,4.21,6.44,28.7,16.63,68.7,37.1
269,good,3.243635596,24.29,8.98,7.83,23.18,11.11,4.25,6.47,28.41,16.77,68.7,37.1
270,good,3.243635596,24.52,8.91,7.83,23.4,11.16,4.23,6.47,28.7,16.63,68.7,37.1
271,good,3.243635596,24.63,8.91,7.83,23.29,11.16,4.25,6.47,28.41,16.84,68.8,37.1
272,good,3.243635596,24.75,8.98,7.8,22.96,11.16,4.25,6.49,28.41,16.84,68.8,37.2
273,good,3.243635596,24.4,8.98,7.83,22.96,11.07,4.31,6.54,28.41,16.91,68.8,37.1
274,good,3.243635596,24.75,8.91,7.8,23.07,11.02,4.27,6.54,28.41,16.77,68.1,36.4
275,good,3.243635596,24.52,9.01,7.8,22.96,10.98,4.31,6.6,28.26,16.84,68.8,37.1
276,good,3.243635596,24.52,8.98,7.83,22.96,10.98,4.33,6.57,28.41,16.7,68.8,37.1
277,good,3.243635596,24.52,8.8,7.68,22.96,10.89,4.21,6.44,27.69,16.49,68.9,37.2
278,good,3.243635596,24.4,8.87,7.71,22.86,10.89,4.21,6.47,27.83,16.42,68.8,37.2
279,good,3.243635596,24.4,8.87,7.74,22.75,10.89,4.21,6.47,27.83,16.22,68.9,37.2
280,good,3.243635596,24.4,8.94,7.77,22.64,10.85,4.23,6.49,28.26,16.42,69.1,37.1
281,good,3.243635596,24.52,8.87,7.71,22.64,10.81,4.27,6.52,27.83,16.42,69.2,37.3
282,good,3.243635596,24.63,8.84,7.74,22.96,10.85,4.27,6.52,28.12,16.56,69.3,37.2
283,good,3.243635596,24.4,8.94,7.74,22.86,10.81,4.25,6.57,27.97,16.91,69.4,37.2
284,good,3.243635596,24.29,8.84,7.74,22.86,10.76,4.25,6.57,27.97,16.7,69.3,37.2
285,good,3.243635596,24.29,8.94,7.74,22.64,10.68,4.25,6.6,27.55,16.91,69.3,37.2
286,good,3.243635596,24.4,8.91,7.71,22.75,10.68,4.27,6.6,27.97,16.77,69.4,37.2
287,good,3.243635596,24.29,8.87,7.71,22.86,10.63,4.43,6.65,27.55,16.56,69.4,37.2
288,good,3.243635596,24.4,8.91,7.71,22.86,10.68,4.25,6.62,27.55,16.7,69.4,37.4
289,good,3.243635596,24.52,8.98,7.68,22.86,10.55,4.27,6.67,27.97,16.77,69.4,37.3
290,good,3.243635596,24.29,8.87,7.68,22.64,10.59,4.29,6.65,27.55,16.77,69.4,37.2
291,good,3.243635596,24.17,8.91,7.65,22.64,10.51,4.29,6.7,27.83,16.7,68.8,36.9
292,good,3.243635596,24.4,8.84,7.62,22.86,10.51,4.25,6.7,27.41,16.63,69.5,37.3
293,good,3.243635596,24.29,8.8,7.68,22.64,10.51,4.31,6.73,27.55,16.77,69.5,37.3
294,good,3.243635596,24.4,8.91,7.62,22.86,10.43,4.33,6.78,27.55,16.7,69.6,37.3
295,good,3.243635596,24.17,8.91,7.62,22.54,10.38,4.33,6.75,27.55,16.7,69.5,37.4
296,good,3.243635596,24.29,8.8,7.62,22.54,10.34,4.37,6.78,27.14,16.7,69.6,37.3
297,good,3.243635596,24.52,8.53,7.65,22.75,10.43,4.35,6.81,27.41,16.49,69.5,37.3
298,good,3.243635596,24.29,8.87,7.65,22.75,10.38,4.39,6.81,27.41,16.49,69.5,37.1
299,good,3.243635596,24.4,8.91,7.65,22.75,10.38,4.41,6.86,27.14,16.63,69.6,37.3
300,good,3.243635596,24.4,8.91,7.62,22.44,10.3,4.51,6.83,27.27,16.42,69.6,37.4
301,good,3.285348703,24.4,8.94,7.65,22.44,10.26,4.43,6.89,27.41,16.42,69.7,37.4
302,good,3.285348703,24.52,8.87,7.58,22.44,10.22,4.45,6.91,27.27,16.42,69.7,37.4
303,good,3.285348703,24.4,8.91,7.58,22.75,10.22,4.43,6.97,27.14,16.49,69.7,37.4
304,good,3.285348703,24.52,8.87,7.55,22.75,10.14,4.39,6.97,27,15.82,69.7,37.4
305,good,3.285348703,24.17,8.8,7.52,22.44,10.1,4.37,6.94,27,16.56,69.7,37.5
306,good,3.285348703,23.95,8.8,7.52,22.33,10.06,4.35,6.97,26.86,16.84,69.7,37.4
307,good,3.285348703,24.29,8.84,7.52,22.54,10.06,4.37,6.97,26.73,16.84,69.7,37.4
308,good,3.285348703,24.29,8.8,7.49,22.54,10.06,4.45,6.94,26.73,16.63,69.7,37.4
309,good,3.285348703,23.95,8.87,7.49,22.23,9.98,4.49,6.94,26.73,16.7,69.7,37.4
310,good,3.285348703,24.29,8.77,7.46,22.44,9.94,4.55,6.97,26.6,16.77,69.8,37.4
311,good,3.285348703,24.17,8.8,7.46,22.54,9.94,4.51,7.05,25.95,16.98,69.9,37.4
312,good,3.285348703,24.06,8.7,7.43,22.44,9.94,4.53,7.05,26.33,16.77,70,37.1
313,good,3.285348703,23.95,8.74,7.43,22.33,9.86,4.57,7.02,26.47,16.7,70,37.4
314,good,3.285348703,23.83,8.7,7.43,22.33,9.83,4.55,7.08,26.47,16.84,70,37.5
315,good,3.285348703,24.17,8.7,7.43,22.44,9.83,4.55,7.11,26.2,16.7,70,37.5
316,good,3.285348703,23.83,8.67,7.41,22.13,9.75,4.57,7.11,26.07,16.63,70,37.5
317,good,3.285348703,23.95,8.7,7.41,22.33,9.79,4.55,7.13,26.2,16.56,70,37.5
318,good,3.285348703,23.95,8.67,7.35,22.33,9.71,4.53,7.11,26.07,16.02,70.1,37.5
319,good,3.285348703,24.06,8.74,7.38,22.13,9.67,4.55,7.19,25.95,16.49,70,37.7
320,good,3.285348703,23.72,8.6,7.38,22.33,9.67,4.51,7.19,25.69,15.69,70.1,37.5
321,good,3.285348703,23.95,8.67,7.38,22.33,9.63,4.51,7.19,25.82,16.35,70.2,37.5
322,good,3.285348703,23.83,8.63,7.32,22.33,9.6,4.49,7.16,25.82,16.15,70.1,37.5
323,good,3.285348703,23.83,8.6,7.32,22.03,9.56,4.53,7.25,25.82,16.15,70.1,37.5
324,good,3.285348703,23.61,8.63,7.32,22.23,9.52,4.49,7.3,25.69,16.35,70.1,37.5
325,good,3.285348703,23.61,8.67,7.29,22.13,9.48,4.8,7.36,25.57,16.28,70.2,37.5
326,good,3.285348703,23.61,8.6,7.29,22.23,9.48,4.53,7.33,25.57,16.02,70.2,37.7
327,good,3.285348703,23.95,8.63,7.26,22.03,9.41,4.53,7.39,25.57,16.22,70.2,37.5
328,good,3.285348703,23.61,8.53,7.26,22.13,9.41,4.53,7.42,25.32,16.56,70.3,37.6
329,good,3.285348703,23.72,8.6,7.26,22.23,9.34,4.53,7.36,25.57,16.7,70.1,37.3
330,good,3.285348703,23.72,8.57,7.23,22.03,9.3,4.55,7.42,25.32,16.7,70.1,37.6
331,good,3.285348703,23.61,8.67,7.26,22.23,9.3,4.55,7.36,25.2,16.7,70.2,37.5
332,good,3.285348703,23.61,8.67,7.23,22.03,9.3,4.53,7.42,25.32,16.63,70,37.5
333,good,3.285348703,23.83,8.6,7.23,22.03,9.23,4.55,7.45,25.07,16.7,70,37.6
334,good,3.285348703,23.61,8.57,7.23,22.23,9.26,4.51,7.48,25.07,16.63,70.1,37.5
335,good,3.285348703,23.5,8.74,7.23,22.03,9.15,4.57,7.51,25.07,16.98,70.2,37.6
336,good,3.285348703,23.61,8.53,7.23,22.13,9.15,4.55,7.54,24.95,16.84,70.2,37.5
337,good,3.285348703,23.39,8.5,7.2,22.03,9.12,4.55,7.51,24.95,16.7,70.3,37.6
338,good,3.285348703,23.83,8.57,7.17,22.03,9.05,4.59,7.48,24.95,16.7,70.3,37.6
339,good,3.285348703,23.61,8.57,7.2,22.03,9.01,4.61,7.51,24.95,16.91,70.4,37.6
340,good,3.285348703,23.72,8.53,7.17,21.93,9.01,4.61,7.54,24.71,16.7,70.2,37.6
341,good,3.285348703,23.72,8.6,7.14,21.93,8.98,4.63,7.51,24.83,16.77,70.3,37.6
342,good,3.285348703,23.5,8.6,7.17,21.83,8.94,4.63,7.62,24.01,16.77,70.3,37.6
343,good,3.285348703,23.5,8.6,7.14,21.83,8.91,4.65,7.62,24.83,16.7,69.6,36.8
344,good,3.285348703,23.5,8.53,7.14,22.03,8.94,4.63,7.68,24.48,16.84,70.5,37.6
345,good,3.285348703,23.72,8.53,7.11,22.03,8.91,4.67,7.68,24.36,16.84,70.5,37.6
346,good,3.285348703,23.39,8.47,7.06,21.73,8.8,4.65,7.68,24.59,16.63,70.6,37.6
347,good,3.285348703,23.28,8.43,7.06,21.63,8.8,4.67,7.75,24.24,16.7,70.6,37.6
348,good,3.285348703,23.5,8.37,7.03,21.63,8.73,4.65,7.68,24.24,16.49,70.7,37.6
349,good,3.285348703,23.28,8.4,7.06,21.83,8.8,4.71,7.78,24.24,16.56,70.7,37.6
350,good,3.285348703,23.18,8.4,7.03,21.73,8.7,4.76,7.84,24.36,16.63,70.8,37.8
351,good,3.285348703,23.18,8.33,7.03,21.83,8.73,4.71,7.87,24.36,16.63,70.8,37.6
352,good,3.285348703,23.28,8.27,7,21.93,8.67,4.73,7.93,24.01,16.42,70.9,37.6
353,good,3.285348703,23.18,8.27,6.97,21.83,8.63,4.73,7.96,23.78,16.49,70.9,37.6
354,good,3.285348703,23.39,8.23,6.94,21.63,8.56,4.78,7.93,23.78,16.49,70.9,37.6
355,good,3.285348703,23.28,8.23,6.94,21.83,8.56,4.78,7.96,24.01,16.49,70.8,37.7
356,good,3.285348703,23.28,8.23,6.89,21.63,8.5,4.9,8.05,23.78,16.35,70.8,37.7
357,good,3.285348703,23.28,8.27,6.86,21.63,8.46,4.82,8.02,23.9,16.56,70.8,37.8
358,good,3.285348703,22.96,8.07,6.86,21.53,8.43,4.82,8.09,23.56,16.49,70.8,37.6
359,good,3.285348703,23.07,8.14,6.86,21.53,8.43,4.82,8.09,23.56,16.28,70.8,37.7
360,good,3.285348703,22.96,8.11,6.83,21.83,8.37,4.86,8.05,23.67,16.49,71.4,38.5
361,good,3.350371278,22.86,8.14,6.83,21.73,8.37,4.82,8.15,23.56,16.28,70.8,37.7
362,good,3.350371278,23.07,8.07,6.81,21.53,8.33,4.88,8.15,23.56,16.49,70.8,37.7
363,good,3.350371278,22.75,8.11,6.81,21.63,8.3,4.9,8.18,23.45,16.35,71,37.6
364,good,3.350371278,22.65,8.01,6.75,21.43,8.27,4.88,8.15,23.23,16.22,70.9,37.8
365,good,3.350371278,22.65,7.98,6.72,21.43,8.2,4.9,8.21,23.01,16.15,71,37.7
366,good,3.350371278,22.65,5.74,6.78,21.63,8.24,4.92,8.25,23.12,16.15,71,37.7
367,good,3.350371278,22.75,7.98,6.75,21.53,8.24,4.95,8.25,23.23,16.35,70.9,37.4
368,good,3.350371278,22.75,7.95,6.7,21.33,8.14,4.9,8.31,22.8,16.15,71,37.7
369,good,3.350371278,22.65,8.01,6.72,21.24,8.14,4.99,8.34,23.01,16.35,71,37.7
370,good,3.350371278,22.54,7.92,6.72,21.33,8.11,4.99,8.41,22.91,16.15,71.1,37.7
371,good,3.350371278,22.75,7.92,6.61,21.05,8.08,5.03,8.34,22.8,16.22,70.9,37.8
372,good,3.350371278,22.54,7.88,6.67,21.43,8.11,5.01,8.41,22.8,16.15,71,37.8
373,good,3.350371278,22.54,7.88,6.61,21.33,8.01,5.05,8.44,22.8,16.08,71,37.8
374,good,3.350371278,22.54,7.85,6.61,21.43,8.01,5.08,8.51,22.69,16.08,70.9,37.8
375,good,3.350371278,22.54,7.79,6.61,21.33,8.01,5.08,8.51,22.59,16.08,70.9,37.7
376,good,3.350371278,22.54,7.76,6.53,21.05,7.92,5.05,8.51,22.38,16.15,70.9,37.8
377,good,3.350371278,22.44,7.82,6.56,21.24,7.95,5.08,8.61,22.48,16.08,70.9,37.8
378,good,3.350371278,22.44,7.82,6.56,21.14,7.92,5.12,8.64,22.38,15.95,70.8,37.8
379,good,3.350371278,22.65,7.82,6.53,20.95,7.86,5.16,8.61,22.48,16.02,70.8,37.8
380,good,3.350371278,22.54,7.7,6.51,21.14,7.83,5.19,8.61,22.17,16.02,70.9,37.8
381,good,3.350371278,22.24,7.73,6.53,21.14,7.83,5.16,8.64,22.38,15.95,70.8,37
382,good,3.350371278,22.44,7.76,6.51,21.05,7.8,5.21,8.75,22.07,15.82,70.8,37.8
383,good,3.350371278,22.54,7.64,6.48,20.95,7.77,5.23,8.78,22.07,15.69,70.8,37.8
384,good,3.350371278,22.44,7.7,6.48,20.86,7.74,5.23,8.81,21.97,15.88,70.9,37.9
385,good,3.350371278,22.34,7.67,6.51,21.14,7.77,5.28,8.78,22.17,15.69,70.8,37.8
386,good,3.350371278,22.24,7.67,6.48,21.05,7.74,5.23,8.85,22.07,15.82,70.9,37.8
387,good,3.350371278,22.24,7.58,6.48,21.05,7.71,5.23,8.85,21.87,15.75,70.9,37.8
388,good,3.350371278,22.14,7.61,6.45,20.95,7.71,5.23,8.88,21.87,15.62,71.5,38
389,good,3.350371278,22.34,7.55,6.45,20.95,7.65,5.28,8.88,21.77,15.75,70.9,37.9
390,good,3.350371278,22.44,7.55,6.43,20.77,7.65,5.28,8.95,21.67,15.62,71,37.8
391,good,3.350371278,22.14,7.49,6.4,20.77,7.65,5.19,8.88,21.47,15.43,70.9,37.8
392,good,3.350371278,22.44,7.55,6.45,20.95,7.65,5.32,8.99,21.67,15.5,71,37.8
393,good,3.350371278,22.03,7.55,6.4,20.86,7.56,5.3,9.02,21.57,15.43,71.1,37.8
394,good,3.350371278,22.14,7.52,6.43,20.95,7.59,5.55,9.1,21.57,15.56,71.1,37.8
395,good,3.350371278,22.03,7.4,6.38,20.77,7.5,5.25,9.02,21.47,15.56,71.7,38
396,good,3.350371278,22.24,7.49,6.38,20.58,7.5,5.34,9.1,21.57,15.75,71.1,37.8
397,good,3.350371278,22.24,7.43,6.38,20.77,7.47,5.39,9.06,21.38,15.62,71.3,37.8
398,good,3.350371278,22.24,7.46,6.35,20.49,7.44,5.39,9.06,21.38,15.69,71.2,37.5
399,good,3.350371278,22.14,7.55,6.4,20.77,7.44,5.37,9.1,21.38,15.5,71.2,37.8
400,good,3.350371278,22.14,7.43,6.35,20.49,7.41,5.39,9.13,21.09,15.5,71.2,37.8
401,good,3.350371278,22.24,7.4,6.27,20.13,7.35,5.39,9.17,21.28,15.43,71.2,37.9
402,good,3.350371278,22.24,7.4,6.35,20.67,7.38,5.46,9.2,21.09,15.56,71.2,37.9
403,good,3.350371278,22.03,7.34,6.35,20.58,7.38,5.43,9.28,20.99,15.62,71.2,37.9
404,good,3.350371278,22.24,8.7,6.3,20.31,7.32,5.48,9.24,21.09,15.43,71.2,37.9
405,good,3.350371278,22.03,7.4,6.32,20.49,7.35,5.5,9.24,20.99,15.5,71.2,37.7
406,good,3.350371278,22.14,7.31,6.3,20.31,7.29,5.53,9.28,20.9,15.37,71.2,37.9
407,good,3.350371278,22.03,7.31,6.3,20.22,7.27,5.53,9.28,20.99,15.5,71.2,37.9
408,good,3.350371278,22.14,7.31,6.3,20.31,7.27,5.57,9.39,20.8,15.43,71.3,37.9
409,good,3.350371278,22.03,7.34,6.3,20.31,7.24,5.6,9.43,20.9,15.5,71.3,37.9
410,good,3.350371278,21.93,7.37,6.32,20.4,7.24,5.62,9.39,20.9,15.56,71.3,37.9
411,good,3.350371278,21.93,7.31,6.3,20.4,7.21,5.6,9.39,20.99,15.56,71.3,37.9
412,good,3.350371278,22.03,7.34,6.3,20.22,7.15,5.46,9.43,20.62,15.69,71.3,37.9
413,good,3.350371278,22.14,7.34,6.3,20.13,7.15,5.6,9.46,20.62,15.43,71.3,37.9
414,good,3.350371278,22.03,7.37,6.3,20.31,7.15,5.64,9.46,20.62,15.62,71.3,37.9
415,good,3.350371278,22.03,7.25,6.3,20.13,7.15,5.64,9.46,20.52,15.5,71.4,37.9
416,good,3.350371278,21.93,7.31,6.3,20.13,7.13,5.64,9.5,20.62,15.5,71.4,37.9
417,good,3.350371278,21.93,7.19,6.22,19.95,7.07,5.57,9.46,20.25,15.5,71.5,37.9
418,good,3.350371278,21.84,7.25,6.25,20.04,7.1,5.6,9.43,20.34,15.5,71.5,37.9
419,good,3.350371278,21.93,7.22,6.22,19.95,7.07,5.64,9.43,20.25,15.43,72,38.1
420,good,3.350371278,21.84,7.16,6.22,20.04,7.04,5.69,9.46,20.25,15.5,71.5,37.9
421,good,3.398600912,21.93,7.22,6.22,20.04,7.01,5.69,9.46,20.25,15.5,71.6,37.9
422,good,3.398600912,22.14,7.22,6.22,19.77,7.01,5.71,9.5,20.16,15.5,72.1,38.5
423,good,3.398600912,22.03,7.25,6.22,19.77,6.99,5.67,9.61,20.07,15.31,71.5,37.9
424,good,3.398600912,21.93,7.22,6.25,19.95,6.99,5.69,9.65,19.98,15.12,71.6,37.9
425,good,3.398600912,22.24,7.16,6.22,19.18,7.01,5.74,9.69,19.98,15.12,71.7,37.9
426,good,3.398600912,21.93,7.22,6.25,19.86,6.99,5.74,9.73,19.98,15.12,72.2,38
427,good,3.398600912,22.03,7.19,6.27,19.86,6.96,5.81,9.73,19.98,15.18,71.6,37.9
428,good,3.398600912,22.14,6.97,6.25,19.69,6.93,5.81,9.81,19.89,15.18,71.7,37.9
429,good,3.398600912,22.14,7.16,6.27,19.95,6.96,5.86,9.81,20.07,15.06,71.7,37.6
430,good,3.398600912,22.24,7.22,6.3,19.86,6.96,5.91,9.88,19.89,14.94,71.7,37.9
431,good,3.398600912,22.03,7.22,6.27,19.86,6.88,5.91,9.92,19.89,15.31,71.8,37.9
432,good,3.398600912,22.75,7.19,6.25,19.69,6.8,5.96,9.92,19.98,15.75,71.7,37.9
433,good,3.398600912,21.84,7.08,6.25,19.86,6.82,5.96,9.92,19.81,15.75,71.8,37.9
434,good,3.398600912,21.84,7.05,6.25,19.77,6.82,5.93,10,19.81,15.43,71.8,37.9
435,good,3.398600912,22.03,7.08,6.22,19.6,6.77,5.98,10.04,19.72,15.62,71.8,37.9
436,good,3.398600912,22.24,7.14,6.22,19.51,6.77,6.01,10.08,19.72,15.62,71.8,37.9
437,good,3.398600912,22.03,7.11,6.22,19.6,6.8,6.01,10.08,19.72,15.5,72.3,38
438,good,3.398600912,21.93,7.05,6.22,19.51,6.74,6.03,10.04,19.46,15.62,72.3,38
439,good,3.398600912,22.14,7.11,6.22,19.51,6.72,6.08,10.16,19.72,15.5,72.4,38
440,good,3.398600912,22.14,6.99,6.19,19.43,6.72,6.11,10.12,19.37,15.5,72.3,38
441,good,3.398600912,22.14,7.05,6.22,19.6,6.69,6.11,10.2,19.55,15.56,72.4,38
442,good,3.398600912,21.93,7.19,6.22,19.69,6.69,6.11,10.2,19.55,15.31,72.5,38
443,good,3.398600912,21.93,7.05,6.17,19.43,6.64,6.18,10.29,19.55,15.37,72.4,38.1
444,good,3.398600912,22.03,6.99,6.14,19.34,6.61,6.23,10.29,19.46,15.25,72.4,38
445,good,3.398600912,21.84,6.97,6.14,19.34,6.64,6.21,10.41,19.46,15.31,72.5,38
446,good,3.398600912,21.74,6.88,6.14,19.51,6.61,6.23,10.33,19.29,15.43,72.5,38.8
447,good,3.398600912,22.03,6.97,6.12,19.26,6.56,6.31,10.37,19.29,15.43,72.5,38
448,good,3.398600912,21.93,6.85,6.14,19.18,6.56,6.28,10.33,19.04,15.43,72.5,38
449,good,3.398600912,22.24,7.02,6.14,19.26,6.61,6.23,10.37,19.12,15.31,72.5,38
450,good,3.398600912,22.03,6.97,6.22,19.34,6.61,6.23,10.29,19.21,15.62,72.5,38.1
451,good,3.398600912,22.34,7.08,6.25,19.26,6.58,6.26,10.25,19.12,15.69,72.6,38
452,good,3.398600912,22.24,8.27,6.22,19.26,6.58,6.23,10.29,19.04,15.82,72.5,38
453,good,3.398600912,22.03,6.99,6.25,19.51,6.72,6.13,10.25,19.12,15.88,72,37.9
454,good,3.398600912,22.44,7.02,6.27,19.18,6.64,6.21,10.25,19.21,15.95,72.6,38
455,good,3.398600912,22.44,6.99,6.3,19.18,6.61,6.21,10.29,19.12,15.75,72.6,38
456,good,3.398600912,22.54,7.08,6.35,19.18,6.64,6.21,10.2,19.12,15.82,72.6,38
457,good,3.398600912,22.54,7.11,6.35,19.18,6.61,6.26,10.2,19.12,15.82,72.6,38
458,good,3.398600912,22.34,7.14,6.38,19.26,6.61,6.33,10.33,19.21,15.69,72.6,38
459,good,3.398600912,22.44,7.08,6.35,19.09,6.53,6.39,10.25,18.96,15.69,72.6,38
460,good,3.398600912,22.34,7.11,6.35,19.26,6.53,6.39,10.41,19.12,15.69,72,37
461,good,3.398600912,22.44,6.99,6.3,19.09,6.51,6.41,10.37,18.87,15.37,72.6,38
462,good,3.398600912,22.14,7.02,6.3,19.18,6.51,6.44,10.49,18.96,15.43,72.6,38
463,good,3.398600912,22.14,7.02,6.27,19.09,6.48,6.46,10.54,18.96,15.25,72.7,38
464,good,3.398600912,22.34,6.94,6.25,19.01,6.43,6.49,10.58,18.87,15.25,72.6,38.1
465,good,3.398600912,21.93,6.91,6.22,19.09,6.38,6.52,10.62,18.79,15.31,72.6,38.1
466,good,3.398600912,21.93,6.85,6.22,19.18,6.4,6.79,10.62,18.63,15.25,72.6,38.1
467,good,3.398600912,22.24,6.85,6.19,18.93,6.38,6.54,10.66,18.79,15.37,72.5,38.3
468,good,3.398600912,22.03,6.8,6.25,19.09,6.38,6.57,10.66,18.55,15.37,72.7,38.1
469,good,3.398600912,22.24,6.83,6.22,19.01,6.38,6.54,10.62,18.55,15.5,72.5,38.1
470,good,3.398600912,22.34,6.91,6.22,18.93,6.38,6.57,10.66,18.71,15.5,71.9,37.8
471,good,3.398600912,22.24,6.91,6.22,18.84,6.35,6.62,10.71,18.63,15.5,72.4,38.2
472,good,3.398600912,22.03,6.85,6.19,18.76,6.33,6.62,10.79,18.63,15.62,72.4,38.2
473,good,3.398600912,22.03,6.8,6.19,19.01,6.33,6.65,10.84,18.47,15.56,72.5,38.1
474,good,3.398600912,21.93,6.83,6.19,18.84,6.3,6.68,10.79,18.47,15.31,72.4,38.2
475,good,3.398600912,22.14,6.74,6.14,18.68,6.28,6.73,10.79,18.39,15.25,72.3,38.2
476,good,3.398600912,21.93,6.8,6.17,18.93,6.3,6.7,10.84,18.71,15.31,72.3,38.2
477,good,3.398600912,22.03,6.77,6.14,18.68,6.3,6.73,10.97,18.47,15.25,72.3,38.2
478,good,3.398600912,21.93,6.72,6.09,18.76,6.23,6.79,11.01,18.39,15.43,72.3,38.1
479,good,3.398600912,21.93,6.66,6.04,18.6,6.18,6.84,11.1,18.23,15.5,72.3,38.2
480,good,3.398600912,21.74,6.69,6.07,18.6,6.18,6.87,11.19,18.39,15.43,72.3,38.2
481,good,3.491995156,21.84,6.61,6.07,18.6,6.18,6.87,11.19,18.23,15.43,72.2,38.2
482,good,3.491995156,21.84,6.58,6.07,18.76,6.23,6.84,11.15,18.15,15.56,72.2,38.2
483,good,3.491995156,21.74,6.66,6.09,18.68,6.2,6.87,11.1,18.23,15.69,72.2,38.2
484,good,3.491995156,21.93,6.69,6.09,18.52,6.2,6.87,11.15,18.31,15.62,72.2,38.4
485,good,3.491995156,21.74,6.69,6.14,18.6,6.23,6.87,11.06,18.15,15.75,72.3,38.2
486,good,3.491995156,22.03,6.66,6.14,18.6,6.23,6.81,11.15,18.31,15.69,72.3,38.2
487,good,3.491995156,22.24,6.63,6.17,18.52,6.23,6.79,11.15,18.15,15.75,72.3,38.2
488,good,3.491995156,22.03,6.72,6.19,18.68,6.2,6.9,11.1,18.07,15.5,72.3,38.2
489,good,3.491995156,21.93,6.69,6.19,18.6,6.15,6.95,11.06,18,15.31,72.3,38.2
490,good,3.491995156,22.03,6.74,6.19,18.68,6.18,6.95,11.19,18.15,15.25,72.3,38.2
491,good,3.491995156,22.24,6.66,6.17,18.44,6.13,6.98,11.15,18,15.37,72.2,38.4
492,good,3.491995156,22.34,6.69,6.17,18.44,6.11,6.98,11.15,18,15.43,72.4,38.2
493,good,3.491995156,22.34,6.16,6.19,18.44,6.15,6.95,11.15,18,15.5,72.4,38.2
494,good,3.491995156,22.24,6.74,6.22,18.6,6.18,6.95,11.19,18,15.62,71.8,37.9
495,good,3.491995156,18.08,5.89,4.06,17.82,4.18,9.2,14.38,16.88,14.88,72.4,38.2
496,good,3.491995156,15.24,4.41,3.7,17.37,4.18,10.51,18,15.34,12.82,72.5,38.2
497,good,3.491995156,15.12,4.15,3.81,17.37,4.46,10.43,18.51,15.03,12.13,72.5,38.1
498,good,3.491995156,15.18,4.19,3.98,17.44,4.78,10.14,17.91,15.09,12.23,72.6,38.1
499,good,3.491995156,16.01,4.39,4.22,17.74,5.09,9.57,16.72,15.15,12.37,72.6,38
500,good,3.491995156,16.69,4.58,4.42,17.74,5.39,9.02,15.7,15.41,12.82,72.7,38
501,good,3.491995156,17.7,4.76,4.62,17.74,5.61,8.64,14.89,15.53,13.29,72.8,38
502,good,3.491995156,18.47,5.02,4.88,17.82,5.8,8.54,14.32,15.86,13.56,72.8,38
503,good,3.491995156,19.04,5.2,5.07,18.05,6.01,8.15,13.84,16.12,14.17,72.8,38
504,good,3.491995156,19.8,5.41,5.28,18.05,6.13,8.02,13.15,16.33,14.58,72.8,38
505,good,3.491995156,20.51,5.62,5.44,17.97,6.23,7.89,12.77,16.6,14.7,72.8,38
506,good,3.491995156,20.97,5.81,5.6,18.05,6.33,7.68,12.45,16.74,15,72.8,38
507,good,3.491995156,21.35,5.96,5.79,18.28,6.48,7.47,12.15,17.03,15.43,72.9,38
508,good,3.491995156,21.93,6.11,5.94,18.13,6.48,7.47,11.9,16.88,15.37,72.8,38.2
509,good,3.491995156,22.34,6.26,6.07,18.05,6.51,7.47,11.66,17.17,15.5,72.7,38
510,good,3.491995156,22.65,6.42,6.14,17.97,6.46,7.47,11.52,17.03,15.82,72.8,38
